From/to,deport,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
31,10762,6963,9562,9754,4709,10729,10117,9684,9369,9462,5617,12274,11901,14980,13796,11990,5986,7761,8059,9612,7440,8059,17822,18547,15653,15579,18487,12837,18258,1540,2866,0,1392,3177,9006,14976,7718,8537,12578,9614,11048,8132,8035,14972,14756,14123,12524,13311,21427,15015,7088,4454,4361,7689,7962,7787,14539,9315,9454,9686,11062,13404,15528,12634,6052,11656,13082,9920,6491,3102,7597,20832,14732,17059,19381,3101,8072,6253,6436,14940,6036,6253,5079,3089,3038,2978,4143,4251,7089,5673,3587,5404,6969,7170,7498,6016,6186,7341,7341,7443,9496,9176,12232,10154,10601,10683,11004,10784,8867,13482,12144,13573,13726,17848,17849,18730,25970,21362,19860,19062,19600,19646,20425,19504,17963,15205,4703,3977,5559,3196,3541,3247,4131,4515,4866,5585,5049,2839,3814,3866
32,12033,8234,10833,11026,5981,12000,11388,10955,10848,10733,6888,13753,13380,16459,15067,13469,7258,9032,9330,11110,8711,9330,19093,19818,16924,16850,19966,14108,19737,148,3225,1392,0,2145,8182,13583,8676,9176,11755,8791,10224,7308,8287,16451,16234,15602,13795,14582,22698,16286,8359,5726,5632,8961,9234,9058,15810,10586,10726,11165,12561,14882,16800,13906,7324,12927,14353,11356,5609,2958,6774,22104,16210,18330,20652,4372,9344,7524,7708,16211,7308,7524,6350,4360,4310,4249,5788,5749,8441,7025,5388,6756,8320,9748,9583,7494,7665,8612,8612,8941,10995,10675,13731,11653,12100,12182,12502,12283,10366,14981,14513,15050,15203,19326,19326,20207,27885,22840,21337,20560,21098,21145,21902,21002,19461,16704,5974,5248,6830,4695,5039,4745,5862,6014,6365,7084,6320,4338,5050,4998
33,12066,7618,10665,10417,5812,11392,11173,10739,8703,10100,5484,11608,11235,14314,14852,11324,7291,9065,9115,8966,8744,9115,18878,18410,16957,16634,17821,13892,17592,2315,1080,3199,2167,0,6624,16317,6509,7618,10197,7233,8666,5750,6826,14306,14090,13457,13579,14367,22483,16071,7743,5510,5665,8994,8625,9337,15595,10619,10117,9020,10416,12738,15973,13690,7108,12318,14137,9798,4051,813,5216,21888,14065,18115,19244,4301,9623,7558,7539,15996,7341,7558,7123,4443,4392,4332,3497,3605,6443,5027,3243,4758,6322,6502,8025,5350,5520,8397,8396,6796,8850,8530,11586,9508,9955,10037,10358,10138,8221,12836,12368,12906,13058,17181,17181,18062,25303,20695,19192,18416,18954,19000,19758,18858,17316,14559,5806,5143,6864,2550,2895,2601,3717,3869,4220,4939,4916,2193,3167,3537
34,18585,14137,18072,16936,12331,18397,16728,16295,13080,14477,10453,15985,15612,18691,20833,15701,13810,15584,14670,12784,15263,14671,24433,22787,23476,22190,22198,19448,21969,8292,7599,9177,8144,6519,0,19827,5466,5966,6079,5597,7018,4098,6496,18683,18466,17834,19135,19923,27241,21626,14262,12029,12184,15513,15144,15856,21150,17138,16636,13397,14235,17114,20350,19246,12008,18837,19693,8149,4552,7332,1290,27444,18442,23671,23621,10820,16142,14076,14058,20080,13860,14076,13642,10962,10911,10851,7673,7939,8724,7488,9762,7892,8222,6539,6374,9528,9699,13953,13952,10586,12669,12349,15152,13327,13774,13856,13517,13297,10677,14117,13154,15785,15938,18859,18859,19740,24644,22373,20870,21640,22113,22518,21436,22016,20476,17718,12325,11662,13383,9069,9414,9120,10236,10058,10016,9051,11435,8712,7753,7701
35,10636,16512,19553,17382,16996,19013,20723,21097,24981,22374,21762,27886,27513,28408,26112,27602,13244,13177,18868,25244,12143,18868,23622,28513,17491,22529,33352,22750,33123,13414,17358,14915,13522,16278,19756,0,20250,20750,23329,20365,21798,18882,21280,29557,29552,28948,23329,26284,29884,21966,16388,17083,14898,13105,15590,9228,20339,9626,17082,25298,26694,29016,27209,25273,19816,17357,26514,22930,18231,17091,18348,29290,29606,25516,29347,15850,9349,13511,18120,26621,13563,13511,13211,14503,14554,14614,19861,19883,23508,21069,19521,20800,23006,21323,21158,21628,21798,20253,20253,23074,25128,24808,27864,25786,26233,26315,26636,26416,24499,28901,27938,30600,30753,33643,33643,34524,39460,37157,35654,36424,35232,35278,36220,35136,33594,30837,15926,15749,13004,18828,19173,18879,19995,20147,20498,21217,21194,18471,19184,19132
36,16944,12896,14831,15513,11090,15156,13487,13054,9839,11236,7212,12744,12371,15450,17592,12460,12169,13943,11429,9543,13622,11429,21192,19546,21389,18949,18957,16207,18728,8121,4852,7990,7973,6967,5612,20276,0,767,6293,1620,3495,1415,1030,15442,15225,14592,15894,16681,24000,18385,13021,10196,10543,13872,13903,14215,17909,15497,15610,10156,10994,13873,17109,16005,8767,16624,16452,3843,2443,5512,4204,24203,15201,20429,20380,9179,14501,12435,11019,16838,12219,12435,12001,9321,9270,9210,5242,5508,5483,4246,8121,4651,4981,3298,3132,6287,6458,10711,10711,7345,9428,9108,11911,10086,10532,10614,10276,10056,7436,10876,9913,13187,13340,15618,15618,16499,22046,19132,17629,18399,18872,19277,18194,18775,17234,14477,11084,10421,11742,7428,7772,7478,7237,7806,6775,5810,8739,5664,4504,4452
37,17763,13272,16461,16071,11467,16787,15118,14685,11469,12866,8843,14375,14001,17081,19223,14091,12987,14762,13060,11174,14441,13060,22823,21177,23020,20580,20588,17838,20359,9239,5671,8809,9091,7466,6111,20774,767,0,5537,864,2739,1913,530,17073,16856,16223,17525,18312,25631,20016,13397,10921,11362,14690,14279,15034,19540,16316,15771,11786,12625,15504,18739,17636,10398,18255,18083,3045,2942,6331,4702,25834,16832,22060,22011,9997,15320,13254,12650,18469,13037,13254,12820,10140,10089,10028,6077,6343,7114,5877,8836,6282,6612,4929,4763,7918,8088,12342,12342,8976,11058,10739,13542,11717,12163,12245,11906,11687,8786,12799,11544,12431,12583,17106,17114,18446,21290,20121,20170,20940,21865,21818,20736,20406,18865,16107,11460,10798,12560,8247,8591,8297,8072,8463,8406,7440,10370,6483,5323,5271
38,23768,19320,21775,22118,17514,22100,20432,19998,15610,17007,14156,18515,18142,21221,23363,18231,18993,20767,18373,14983,20446,18374,28136,25317,28659,25893,24728,23151,24499,13475,12782,14360,13327,11702,6906,25010,7232,6371,0,5623,5148,7227,6901,21213,20996,20364,22838,23626,29771,25329,19444,17212,17367,20696,20327,21039,24853,22321,21818,15927,16434,19644,22880,22949,15711,24020,23396,5928,8255,12515,7212,30366,20972,27276,26151,16003,21325,19259,19241,22610,19043,19259,18825,16145,16094,16034,11391,11656,11408,11190,14945,11595,11494,9615,9944,13231,13402,17656,17655,13368,14867,14548,17387,15526,15972,16054,15752,15532,13102,19364,16648,14215,14368,18890,18898,20230,23074,21905,21954,22724,23649,23603,22520,24229,22521,19953,17508,16845,18566,14252,14596,14302,15419,13776,13719,12754,16618,13895,11471,11419
39,19302,13604,16793,16403,11798,17118,15450,15016,10430,11827,9174,13335,12962,16041,18183,13051,14526,16300,13391,9803,15980,13392,23154,20137,23351,20911,19548,18169,19319,9009,6837,9893,8861,7235,5892,20544,2251,1389,4998,0,1875,2245,1919,16033,15816,15184,17856,18644,24591,20347,13729,11252,12901,16229,14611,16573,19871,17854,16103,10747,11254,14464,17700,17967,10729,18587,18414,2656,3273,8049,4483,25186,15792,22096,20971,11536,16858,14793,12981,17430,14576,14793,14359,11678,11627,11567,6409,6675,6228,6209,10478,6613,6314,4436,4764,8249,8420,12674,12673,8188,9687,9368,12207,10346,10792,10874,10572,10352,7923,11935,11468,11567,11720,16242,16250,17582,20426,19257,19306,20076,21001,20954,19872,19071,17530,14773,11792,11129,14099,9786,10130,9836,8404,8794,8737,7772,10702,7170,6489,6437
40,19768,14624,16559,17242,12819,16884,15216,14782,9982,11379,8940,12887,12514,15593,17735,12603,14992,16766,13158,9355,16446,13158,22921,19689,23118,20677,19100,17935,18871,10373,7566,11257,10225,8600,7256,21908,3666,2804,4442,2095,0,3660,3334,15585,15368,14736,17622,18410,24143,20114,14749,11925,12821,16695,15631,17937,19638,18320,17338,10299,10806,14016,17252,17733,10496,18353,18180,780,4688,8226,5848,24738,15344,21648,20523,11878,18099,15258,12748,16982,15042,15258,14850,13043,12992,12931,7824,8090,5780,6037,10190,6441,5866,3988,4316,8016,8186,11144,11144,7740,9239,8920,11759,9898,10344,10426,10124,9904,7474,11487,11020,10415,10567,15090,15098,16430,19274,18105,18154,18924,19849,19802,18719,18623,17082,14325,12812,12150,14565,9714,9831,9771,9346,9534,8503,7538,10468,8378,7218,7166
41,16502,11359,14548,14158,9554,14874,13205,12771,9556,10953,6929,12461,12088,15167,17310,12177,11727,13501,11146,9261,13180,11147,20910,19263,21106,18666,18674,15924,18445,7326,4592,8210,7178,5552,4197,18861,1592,2092,6554,1880,3756,0,2622,15159,14943,14310,15611,16399,23717,18102,11484,9007,9555,13430,12366,13412,17627,15055,13858,9873,10711,13591,16826,15722,8485,16342,16169,4536,1028,5252,2789,23920,14918,20147,20098,8613,14834,11993,10736,16556,11777,11993,11585,8351,8300,8240,4164,4430,5201,3964,6923,4368,4698,3015,2850,6005,6175,10429,10428,7062,9145,8826,11628,9804,10250,10332,9993,9773,7153,10593,9631,11060,11213,15335,15336,16217,22306,18849,17347,18116,18589,18995,17912,18493,16952,14194,9547,8884,11299,6527,6644,6584,6159,6550,6492,5527,8457,4925,4244,4192
42,17261,12754,15861,15552,10948,16186,14517,14084,10866,12263,8242,13772,13398,16478,18620,13488,12485,14260,12459,10240,13939,12460,22222,20574,22152,19979,19985,17237,19756,8437,5168,8307,8289,6664,6641,21304,1030,530,6067,1394,3269,2444,0,16470,16253,15620,16924,17711,25028,19415,12878,10402,10860,14188,13761,14532,18939,15814,15252,11183,11690,14901,18136,17035,9797,17654,17482,2590,3824,5829,5232,25233,16229,21459,21408,9495,14817,12752,12675,17866,12535,12752,12318,9637,9586,9526,5559,5825,6664,5276,8437,5681,6011,4872,4162,7317,7488,11741,11741,8375,10124,9804,12644,10782,11229,11311,11008,10789,8359,12372,10943,12961,13114,17636,17644,18976,21820,20651,20700,21470,22395,22348,21266,19508,17967,15209,10942,10279,12058,7745,8089,7795,7554,7944,7779,6840,9495,5981,4821,4769
43,21024,11307,10329,11011,11398,10654,8986,8773,6295,5599,9758,4187,4152,1164,3590,4242,14621,17426,9695,7129,16027,9696,15041,4334,15238,9678,6723,7165,6494,16868,15674,15399,16720,16602,19521,29628,16180,16371,21147,16863,16514,15945,15943,0,1529,906,6852,5076,9998,9114,11432,11429,13269,15158,12915,21440,11758,20725,11108,6003,4943,3952,1721,4609,9510,12122,5306,15902,16352,16955,18113,10593,1583,7504,5169,13788,21098,13975,10606,2046,13922,13975,15768,15120,15069,15008,13148,12738,11238,12528,12837,12933,11698,12987,13315,9343,9333,7792,7791,8770,7014,7226,6952,5875,7354,7436,8904,9209,9701,12444,11976,15658,15810,15250,15251,16132,23280,16803,15300,14008,15197,15243,14884,11372,12909,10152,12479,13523,14675,13240,12732,13085,12696,12181,11151,10906,10767,13883,13731,13679
44,21010,11618,10639,11322,11184,10965,9296,9084,6082,5385,9545,3967,3939,2803,3901,4082,14932,17412,9777,6916,16338,9777,15027,4321,15224,9664,5826,7476,5597,16655,15461,15186,16507,16389,19308,29614,15967,16157,20934,16650,16300,15731,15730,1529,0,1920,7162,5387,10309,9101,11743,11216,13056,15469,13226,21426,11744,20711,11419,5790,4730,2563,2031,4920,9297,14818,5616,15689,16139,16742,17900,10903,54,7814,5155,13575,21084,14285,10434,3426,14233,14285,15924,14907,14856,14795,12935,12524,11025,12315,12624,12720,11485,12774,13102,9130,9119,7578,7578,8557,6800,7013,6477,5654,7141,7223,8428,8734,9488,12231,11763,15444,15597,14775,14775,15656,22784,16327,14825,13533,14701,14748,16739,10876,12434,9676,12266,13310,15274,13027,12519,12872,12483,11968,10937,10693,10554,13670,13518,13466
45,21624,11312,10334,11016,10548,10659,8990,8778,5446,4750,8909,3338,3303,1453,3595,3392,14626,15451,9141,6280,16032,9141,15641,5207,15838,10278,6455,7170,6226,16019,14825,14550,15871,15753,18672,30228,15331,15521,20298,16014,15664,15095,15094,906,1920,0,6857,5081,10003,9715,11437,10580,12420,15163,12920,22040,12358,21325,11113,5154,4094,2749,2918,4614,8661,12127,5310,15053,15503,16106,17264,10598,1975,7508,6042,12939,21698,13979,9798,2842,13927,13979,15288,14271,14220,14159,12299,11888,10389,11679,11988,12084,10849,12138,12466,8494,8483,6942,6942,7921,6164,6377,6103,5025,6505,6587,8055,8360,8852,11595,11127,14808,14961,14401,14402,15283,20562,15954,14451,13159,13697,13744,14035,11763,12060,9302,11630,12674,14638,12391,11883,12236,11847,11332,10301,10057,9918,13034,12882,12830
46,14885,6205,5227,5909,6450,5552,3884,3671,8651,7908,7610,9621,9247,6037,3117,9337,9519,11288,4593,9481,10925,4594,8903,8036,9100,3558,12875,816,12646,12969,13871,11500,12821,13394,18148,23490,14807,15574,20901,16228,16572,14571,16002,6565,6876,6578,0,2022,9407,2994,6330,7529,8454,10056,7813,15301,5620,14586,6006,8968,10038,9268,4850,1956,6216,7020,1792,15960,14979,13747,16740,8812,6930,5039,8870,9888,14959,8872,5504,4262,8820,8872,10666,10208,10259,11109,12054,11643,11876,11155,9484,11560,11755,12635,12963,8630,8529,5866,5865,9380,9553,9765,12047,10606,11408,11490,12781,12890,12845,15588,15120,18802,18954,20240,20241,21122,29431,21898,20395,19104,21348,21395,23386,17523,18004,15247,7664,8613,9573,10350,9870,10223,10027,9411,9543,9299,7742,11268,12637,12585
47,16371,7779,6801,7484,8024,7126,5458,5245,9905,9209,9184,8136,7762,4552,2257,7852,11093,12774,6168,10739,12500,6168,10389,5236,10586,5044,10075,2302,9846,14543,15445,13074,14395,14968,19722,24976,16381,17148,22476,17802,18146,16146,17576,5069,5380,5093,1989,0,7379,4481,7904,9104,10028,11630,9387,16788,7106,16072,7580,9613,8553,7783,3354,3275,7791,8595,230,17535,16553,15321,18314,7974,5434,4884,6070,11463,16446,10447,7078,2766,10394,10447,12241,11782,11834,12683,13628,13218,13450,12729,11058,13134,13330,14209,14538,10204,10103,7440,7440,10954,10624,10836,10562,9823,10964,11046,12514,12819,13312,16054,15586,19268,19420,18860,18861,19742,26631,20413,18910,17618,18548,18595,20586,14724,16519,13762,9238,10187,11148,11924,11444,11797,11602,10985,11118,10873,9316,12842,14211,14159
48,19984,14289,13310,13993,14534,13099,11967,11754,14830,14134,15693,13061,12688,9478,7182,12777,17602,16387,12677,15665,18634,12677,9775,6613,12571,6532,10919,8812,10690,21052,21955,19583,20904,21477,26232,28589,22891,23658,28985,24312,24656,22655,24085,9994,10305,10018,8499,7354,0,6807,14414,15613,16538,17485,16317,20401,10719,19686,14090,14538,13478,12709,8279,8200,14300,13792,7584,24044,23062,21830,24823,595,10359,3174,5779,17972,20059,16956,13587,7691,16904,16956,18750,18292,18343,19192,20137,19727,19773,19239,17567,19643,19839,20718,21047,16714,16613,13950,13949,17306,15549,15761,15488,14748,15890,15972,17439,17744,18237,20980,20512,24193,24346,23786,23786,24667,31580,25338,23836,22544,23497,23544,25535,19672,21445,18687,15748,16696,17657,18434,17953,18307,18111,17495,17627,17383,15825,19351,20720,20668
49,13312,9029,6424,7106,9274,6427,6307,6495,11475,12571,10434,11498,11124,7914,5619,11214,12064,9715,7417,12305,11962,7418,5356,8020,6210,579,12859,2256,12630,15793,16695,14324,15645,16218,20972,21917,17631,18398,23725,19052,19396,17395,18826,9063,9059,8455,2836,5791,7626,0,9154,10353,11278,10813,9645,13729,4047,13014,7203,11792,11915,11145,6716,4780,9040,7120,4616,18784,17803,16571,19564,7031,9113,3633,8854,12712,13387,11417,8327,6128,11365,11417,14235,13032,13083,13933,14878,14467,14700,13979,12308,14384,14579,15459,15787,11454,11353,8690,8689,12204,12377,12589,13924,13185,14326,14408,15876,16181,15669,18412,17944,21626,21778,22222,22223,23104,29415,25788,24286,20372,21332,21379,23370,17508,19034,17124,10488,11437,12699,13174,12694,13047,12851,12235,12367,12123,10566,14092,15461,15409
50,8749,125,3706,2976,2076,3951,4303,3502,7588,6845,5400,10494,10120,10902,7982,10210,3524,4350,2824,8419,4930,2825,11315,12733,8675,9765,16455,7023,16226,8025,9351,6556,7877,8711,14478,16119,12879,13641,18050,13430,14997,11773,13050,11430,11740,11443,6710,7498,15613,9201,0,3941,2925,4061,1818,7423,8032,7301,2676,7906,9366,11623,9715,6821,3830,4877,7268,14385,11139,9064,13069,15019,11794,11245,13568,3991,7080,2878,2077,9126,2825,2878,4639,4378,4429,4489,7816,7406,10300,8974,5246,8816,10180,10707,11036,7297,7196,4725,4724,8318,8491,8703,11622,9544,10346,10428,11718,11828,11702,14526,14058,17042,17195,19178,19178,20060,27300,22692,21189,19232,19770,19816,20108,19133,18133,15375,1984,3178,3546,5904,5632,5985,5789,6310,6762,7683,5753,7089,8399,8347
51,9704,3778,6368,6577,1515,7552,5826,5025,6805,6062,3059,9710,9337,12416,9505,9426,4929,6703,3990,7635,6382,3990,13531,14256,11642,11288,15923,8546,15694,5596,6924,4127,5448,6446,12213,17075,10212,10932,15786,10720,11977,9064,10340,12408,12192,11559,8232,9020,17136,10724,3903,0,2350,6632,4785,8378,10248,8257,6277,7122,8582,10840,11237,8344,2652,8479,8790,11366,8430,6800,10805,16541,12167,12768,15090,2496,8036,5195,3242,10649,4483,5195,4791,3594,3644,3705,5106,4696,7281,6560,2536,6107,7160,8040,8368,4035,3934,3941,3940,6344,7707,7919,10838,8760,9562,9644,10022,9803,8682,12501,12033,14548,14701,17153,17154,18035,25276,20667,19165,18448,18986,19032,19324,18349,17349,14591,1966,1998,4502,3403,2923,3276,3080,3048,4053,4974,1912,4320,5690,5638
52,7802,3280,6809,6078,2538,7053,6849,6047,8658,7916,4832,11564,11190,13447,10527,11280,3027,4801,5012,9502,4480,5013,15263,15279,12693,12310,17777,9568,17548,5342,6668,3873,5194,6027,11794,15173,9952,11494,15367,11282,12849,9626,10268,14262,14045,13412,9255,10043,18159,11746,3404,2452,0,4730,4286,6476,11980,6355,5778,8976,10953,12693,12260,9366,4687,7980,9813,12238,8992,6380,10386,17564,14021,13791,16113,1669,6134,3293,4265,11672,2573,3293,2889,1691,1742,1803,5668,5258,8153,6826,3098,6669,8032,8560,8888,5527,5698,5795,5794,7216,9387,9067,12123,10045,10492,10574,10894,10675,9554,13373,12905,14895,15047,18025,18026,18907,26148,21540,20037,18952,19490,19537,20602,19394,17853,15096,1468,1065,2600,3952,3485,3838,3642,4188,4615,5536,4264,4405,5508,6200
53,5772,4074,6698,4943,6318,6158,7868,8241,11194,10450,10016,14099,13726,16300,14004,13815,3037,184,6429,12024,1944,6430,11514,16406,6761,10422,21245,10642,21016,9510,10836,8041,9362,10196,15962,13086,14120,14939,19535,16571,18004,13715,14437,17449,17444,16841,11222,14177,17777,9858,3949,6941,4920,0,3102,4390,8231,4269,4643,11511,12971,15228,15102,10426,7435,4502,10873,17126,12893,10549,14554,17182,17499,13409,17240,6487,4048,2390,5682,14513,2373,2390,4239,5570,5621,5682,10557,10146,13041,11715,7987,11557,12921,13448,13777,10416,10586,8330,8329,12104,12096,12308,17011,14934,15380,15462,15783,15563,14443,18262,17794,19783,19936,22914,22914,23795,31036,26428,24925,22837,23375,23421,25490,25893,21738,18980,4984,6385,3133,8328,8373,8726,8530,9076,9503,10424,9448,8573,9677,9729
54,8239,1948,3548,2818,4192,3793,5502,4166,9068,8325,7195,11973,11600,12381,9461,11689,2732,3188,4304,9898,4138,4304,11272,16163,7152,10179,21002,8502,20773,9204,10530,7735,9056,9890,15657,15609,13754,14515,19229,14304,15871,12647,13924,12909,13220,12922,8189,8977,17534,9616,1823,4815,3799,2900,0,6913,7988,6792,2518,9385,10845,13102,11194,8300,5309,4259,8747,15260,12014,10243,14248,16939,13274,13166,16997,4866,6571,2085,3556,10606,2033,2085,4903,5557,5608,5668,8690,8280,11175,9848,6120,9690,11054,11582,11910,8171,8070,6204,6203,10238,9970,10182,13101,11023,11825,11907,13198,13307,12576,16005,15537,17916,18069,20657,20658,21539,28780,24171,22669,20711,21249,21295,21587,20612,19612,16854,2858,4053,3367,6778,6506,6860,6664,7184,7636,8558,6627,8268,9273,9221
55,2407,7845,11302,8715,8329,10762,12472,12846,14465,13707,10713,17371,16997,20157,17861,17087,4577,4510,10201,15088,3476,10201,15371,20262,9240,14278,25101,14499,24872,8787,10113,7318,8639,9561,15328,9593,13485,14304,18900,15936,17370,13081,13802,21306,21301,20698,15078,18033,21633,13715,7720,8416,6232,4438,6923,0,12088,959,8415,14782,16538,18500,18958,17022,11149,9106,18263,15687,12258,9914,13919,21039,21355,17265,21096,7184,342,4844,9453,18370,4896,4844,4333,5973,6024,6084,11254,10843,13738,12411,8684,12254,13618,12815,13144,11112,11283,11586,11586,12801,14972,14652,17708,15630,16077,16159,16480,16260,15139,18958,18490,19219,19372,23610,23611,24492,31733,27124,25622,24537,25076,25122,26187,24979,23438,20681,7259,7082,4338,9024,9070,9423,9227,9773,10200,11121,10145,8485,9459,9511
56,11664,8575,4764,5446,8820,4767,4647,5916,11161,10418,9980,14126,13752,10543,8247,13842,9533,8066,6964,11992,10314,6964,3283,10648,3480,4664,15487,4860,15258,15339,16241,13870,15191,15764,20518,20268,17177,17945,23272,18598,18942,16942,18372,11692,11687,11083,5439,8419,12019,4100,8700,9900,10824,9164,7996,12080,0,11365,5543,11478,14543,13774,9344,7383,8587,5472,8649,18331,17349,16117,19110,11424,11741,7651,11482,12259,11738,8886,7874,8756,8834,8886,11704,12358,12409,12469,14424,14014,14246,13526,11854,13930,14126,15005,15334,11000,10899,8376,8376,11891,12063,12276,16552,13117,13918,14000,15291,15400,15356,18098,17631,21312,21465,22751,22751,23632,32043,28416,26914,23000,23960,24007,25998,20136,21662,19752,9659,10983,10168,12721,12240,12594,12398,11781,11914,11669,10112,13638,15007,14955
57,1693,7781,10588,8651,8265,10048,11758,12132,14402,13643,10649,17307,16934,19443,17147,17023,4513,4446,10137,15024,3412,10137,14657,19548,8526,13564,24387,13785,24158,9691,11017,8222,9543,10465,16232,9657,14389,15208,19804,16840,18274,13985,14706,20592,20587,19983,14364,17319,20919,13001,7656,8352,6168,4374,6859,960,11374,0,8351,14718,16474,18436,18244,16308,11085,8392,17549,17759,13162,10818,14823,20325,20641,16551,20382,7120,618,4780,9389,17656,4832,4780,4269,5601,5652,5712,11190,10779,13674,12347,8620,12190,13554,14081,14409,11048,11219,11522,11522,12737,14908,14588,17644,15566,16013,16095,16416,16196,15075,18894,18426,20416,20568,23546,23547,24428,31669,27060,25558,24474,25012,25058,26123,29036,23374,20617,7195,7018,4274,8960,9006,9359,9163,9709,10136,11057,10081,9206,10309,10361
58,11303,2800,895,97,3928,2016,2747,2346,8853,8110,7672,11758,11385,10560,7640,11474,4216,5042,4656,9683,5623,4656,8778,13679,7153,7695,16112,6681,15883,10689,12015,9220,10541,11375,17141,17094,14869,15636,20714,16290,16634,14634,14715,11087,11398,11100,6368,7155,15050,7131,2676,5424,5284,4753,2510,8397,5495,8276,0,9170,10631,12888,9372,6479,6278,2943,6926,16023,12805,11728,15733,14455,11452,10682,14513,6350,8055,3570,2982,8784,3518,3570,6388,7042,7092,7153,9482,9071,11938,11217,6912,11622,11818,12697,13026,8692,8591,6068,6068,9583,9755,9968,12887,10809,11610,11692,12983,13092,13048,15790,15323,19004,19157,20443,20443,21324,28565,23957,22454,20496,21035,21081,21372,20397,19398,16640,4343,5537,4852,7765,7298,7651,7455,7793,8428,9361,7236,8682,10065,10013
59,16592,8447,8470,9153,7186,8795,7127,6914,317,1602,5765,3110,2737,5816,7958,2826,11816,13590,5779,1460,13270,5779,14832,9912,15028,12441,9323,9699,9094,12236,9944,10308,12088,10779,13406,23962,10065,10255,15031,10747,10398,9829,9827,5808,5592,4959,9386,9444,14366,11877,8572,7217,9058,13519,10055,15266,11548,15144,9249,0,2846,4240,7475,8977,4513,10264,9674,9786,10236,11132,11997,14961,5567,11872,10746,8702,14924,12083,6436,7205,11866,12083,11675,10034,9984,9923,7418,7007,5122,6413,7014,6817,5583,6871,7200,4840,5010,3580,3580,2655,1532,1745,4792,2586,3387,3469,4760,4869,4825,7567,7100,10781,10934,12220,12220,13101,19251,14643,13140,11848,12386,12433,12724,11749,10749,7992,8268,8974,11389,7418,6909,7262,6874,6358,5328,5083,7292,8060,8001,7949
60,17472,10030,10052,10735,8769,10378,8709,8497,2110,2970,6644,1681,1144,4977,7119,1397,12696,14470,7361,2186,14150,7362,16414,9074,16611,13802,8485,10693,8256,13116,10731,11187,12968,11659,14285,24842,10944,11135,15911,11627,11277,10708,10707,4969,4753,4119,10380,8604,13527,13238,10155,8800,10525,14399,11638,16145,13131,16024,10832,2428,0,2811,6635,8137,8200,11846,8834,10666,11116,12012,12877,14121,4729,11032,9908,9582,15803,12962,8019,6365,12746,12962,12554,10914,10863,10803,8205,7794,6002,7292,7894,7697,6462,7751,8079,5720,5890,5163,5162,4210,2070,2283,2748,1542,2411,2493,4694,4803,4758,7501,7033,10715,10867,11047,11047,11928,17207,12599,11096,9804,10343,10389,10680,9706,8706,5948,9850,9854,12269,8297,7789,8142,7753,7238,6207,5963,8172,8940,8788,8736
61,23374,11444,11467,12150,10183,11792,10124,9911,5341,4384,9472,1640,2440,4014,6156,2162,14307,15584,8776,5013,16153,8776,17392,6685,17589,12029,6096,9730,5867,15943,13558,14014,15795,14486,17112,26845,13772,13962,18738,14454,14105,13536,13534,3467,2364,2561,9417,7641,12563,11465,11569,10214,12055,15295,13052,18149,14109,18028,12246,4788,3231,0,4396,7174,8296,13261,7871,13493,13943,14839,15704,13158,2340,10069,7519,12409,17807,14204,9433,5790,14188,14204,14923,13741,13690,13630,11032,10622,8829,10120,10721,10524,9290,10578,10906,8547,8717,6577,6577,7037,4898,5110,4557,3735,5065,5147,6509,6814,7696,10439,9972,13653,13806,12855,12856,13737,19016,14408,12905,11613,12151,12198,12489,11283,10514,7756,11265,12308,14272,11124,10616,10969,10580,10065,9035,8790,9552,11767,11615,11563
62,20190,9592,8614,9296,9837,8939,7271,7058,7953,7256,10997,5998,5810,1659,1876,5899,12906,13732,7980,8787,14312,7981,14207,3500,14404,8844,6746,5450,6516,16356,17258,14887,16208,16781,21179,28794,17838,18028,22805,18521,18171,17602,17601,1721,2031,2918,5137,3361,8283,8280,9717,10916,11841,13443,11200,20606,10924,19891,9393,7661,6601,4594,0,2894,9603,10408,3591,17560,18010,17134,19771,8878,2085,5789,4335,13275,20264,12260,8891,1400,12207,12260,14053,13595,13646,14496,14806,14396,12896,14186,12871,14591,13356,14645,14973,11001,11916,9253,9252,10428,8671,8884,8610,7686,9012,9094,10562,10867,11359,14102,13634,17316,17468,16908,16909,17790,23302,19675,18172,14259,15219,15266,17257,11394,12920,11810,11051,12000,12960,13737,13257,13610,13414,12798,12808,12564,11129,14655,15389,15337
